team,court_color,out_of_bounds_color,line_color,inner_center_circle_color,outer_center_circle_color,outside_three_color,inside_three_color,free_throw_outer_half_color,free_throw_inner_half_color,core_paint_color,paint_stripe_color,line_width,boundary_width,baseline_text,baseline_text_bottom,baseline_text_top,sideline_text,text_color,text_size,font_family,font_path,logo_scale,logo_rotation,logo_opacity,logo_x,logo_y,center_logo_team,league_logo_scale,league_logo_opacity,show_center_circle,show_lane_marks,wood_planks,plank_color,plank_opacity,floor_pattern,outer_margin,hardwood,logo_path,league_logo_path,wood_grain
Albuquerque,#CF9F5B,#281B0D,#281B0D,#D72C2C,#D72C2C,#CF9F5B,#CF9F5B,#CF9F5B,#D72C2C,#D72C2C,#D72C2C,1.2,1.2,ALBUQUERQUE,ALBUQUERQUE,ARMADILLOS,#RollItUp,#FFFFFF,32,Amatic SC,C:\Users\mppac\OneDrive\Documents\GitHub\Portfolio\SBC_Streamlit\.streamlit_cache\court_fonts\amatic_sc.ttf,1.25,90,0.85,25,47,Albuquerque,0.45,1.0,True,True,True,#B88F55,0.35,planks,4,Honey maple,,,Light maple
Anaheim,#D2AA72,#DA0F10,#000000,#D2AA72,#D2AA72,#D2AA72,#D2AA72,#DA0F10,#FFB1B1,#FFB1B1,#DA0F10,1.2,1.2,ANAHEIM,ANAHEIM,MICE,,#FFB1B1,32,Baloo 2,C:\Users\mppac\OneDrive\Documents\GitHub\Portfolio\SBC_Streamlit\.streamlit_cache\court_fonts\baloo_2.ttf,0.8,90,1.0,25,47,Anaheim,0.45,1.0,True,True,True,#9B7745,0.14,planks,4,Warm beech,,,Natural maple
Anchorage,#D9B77E,#14213D,#FFFFFF,,,,,,,,,1.2,1.2,ANCHORAGE,ANCHORAGE,ANCHORAGE,,#FFFFFF,18,Fjalla One,,0.65,0,1.0,25,47,Anchorage,0.45,1.0,True,True,True,#9B7745,0.14,parquet,4,Natural maple,,,Natural maple
Austin,#D9B77E,#14213D,#FFFFFF,,,,,,,,,1.2,1.2,AUSTIN,AUSTIN,AUSTIN,,#FFFFFF,18,Creepster,,0.65,0,1.0,25,47,Austin,0.45,1.0,True,True,True,#9B7745,0.14,parquet,4,Natural maple,,,Natural maple
Baltimore,#D9B77E,#14213D,#FFFFFF,,,,,,,,,1.2,1.2,BALTIMORE,BALTIMORE,BALTIMORE,,#FFFFFF,18,Lobster,,0.65,0,1.0,25,47,Baltimore,0.45,1.0,True,True,True,#9B7745,0.14,parquet,4,Natural maple,,,Natural maple
Birmingham,#D9B77E,#14213D,#FFFFFF,,,,,,,,,1.2,1.2,BIRMINGHAM,BIRMINGHAM,BIRMINGHAM,,#FFFFFF,18,Rye,,0.65,0,1.0,25,47,Birmingham,0.45,1.0,True,True,True,#9B7745,0.14,parquet,4,Natural maple,,,Natural maple
Boise,#D9B77E,#14213D,#FFFFFF,,,,,,,,,1.2,1.2,BOISE,BOISE,BOISE,,#FFFFFF,18,Neucha,,0.65,0,1.0,25,47,Boise,0.45,1.0,True,True,True,#9B7745,0.14,parquet,4,Natural maple,,,Natural maple
Buffalo,#D9B77E,#14213D,#FFFFFF,,,,,,,,,1.2,1.2,BUFFALO,BUFFALO,BUFFALO,,#FFFFFF,18,Teko,,0.65,0,1.0,25,47,Buffalo,0.45,1.0,True,True,True,#9B7745,0.14,parquet,4,Natural maple,,,Natural maple
Cincinnati,#D9B77E,#14213D,#FFFFFF,,,,,,,,,1.2,1.2,CINCINNATI,CINCINNATI,CINCINNATI,,#FFFFFF,18,Satisfy,,0.65,0,1.0,25,47,Cincinnati,0.45,1.0,True,True,True,#9B7745,0.14,parquet,4,Natural maple,,,Natural maple
Columbus,#D9B77E,#14213D,#FFFFFF,,,,,,,,,1.2,1.2,COLUMBUS,COLUMBUS,COLUMBUS,,#FFFFFF,18,Arvo,,0.65,0,1.0,25,47,Columbus,0.45,1.0,True,True,True,#9B7745,0.14,parquet,4,Natural maple,,,Natural maple
Des Moines,#D9B77E,#14213D,#FFFFFF,,,,,,,,,1.2,1.2,DES MOINES,DES MOINES,DES MOINES,,#FFFFFF,18,Cabin Sketch,,0.65,0,1.0,25,47,Des Moines,0.45,1.0,True,True,True,#9B7745,0.14,parquet,4,Natural maple,,,Natural maple
El Paso,#D9B77E,#14213D,#FFFFFF,,,,,,,,,1.2,1.2,EL PASO,EL PASO,EL PASO,,#FFFFFF,18,Pathway Gothic One,,0.65,0,1.0,25,47,El Paso,0.45,1.0,True,True,True,#9B7745,0.14,parquet,4,Natural maple,,,Natural maple
Honolulu,#D9B77E,#14213D,#FFFFFF,,,,,,,,,1.2,1.2,HONOLULU,HONOLULU,HONOLULU,,#FFFFFF,18,Dancing Script,,0.65,0,1.0,25,47,Honolulu,0.45,1.0,True,True,True,#9B7745,0.14,parquet,4,Natural maple,,,Natural maple
Jacksonville,#D9B77E,#14213D,#FFFFFF,,,,,,,,,1.2,1.2,JACKSONVILLE,JACKSONVILLE,JACKSONVILLE,,#FFFFFF,18,Pacifico,,0.65,0,1.0,25,47,Jacksonville,0.45,1.0,True,True,True,#9B7745,0.14,parquet,4,Natural maple,,,Natural maple
